name
"Appearance"
"Attraction"
"Class"
"Conference"
"Convention"
"Expo"
"Festival"
"Gala"
"Game"
"Networking"
"Party"
"Performance"
"Race"
"Retreat"
"Screening"
"Seminar"
"Tour"
"Tournament"
